copa,R1_filename,R2_filename,Expt
CoPA_16343_L2,atac/CoPA_16343_L2_R1.fastq.gz,atac/CoPA_16343_L2_R2.fastq.gz,ATAC
CoPA_16349_L2,atac/CoPA_16349_L2_R1.fastq.gz,atac/CoPA_16349_L2_R2.fastq.gz,ATAC
CoPA_16347_L2,atac/CoPA_16347_L2_R1.fastq.gz,atac/CoPA_16347_L2_R2.fastq.gz,ATAC
CoPA_16354_L2,atac/CoPA_16354_L2_R1.fastq.gz,atac/CoPA_16354_L2_R2.fastq.gz,ATAC
CoPA_16348_L2,atac/CoPA_16348_L2_R1.fastq.gz,atac/CoPA_16348_L2_R2.fastq.gz,ATAC
CoPA_16350_L2,atac/CoPA_16350_L2_R1.fastq.gz,atac/CoPA_16350_L2_R2.fastq.gz,ATAC
CoPA_16345_L2,atac/CoPA_16345_L2_R1.fastq.gz,atac/CoPA_16345_L2_R2.fastq.gz,ATAC
CoPA_16344_L2,atac/CoPA_16344_L2_R1.fastq.gz,atac/CoPA_16344_L2_R2.fastq.gz,ATAC
CoPA_16351_L2,atac/CoPA_16351_L2_R1.fastq.gz,atac/CoPA_16351_L2_R2.fastq.gz,ATAC
CoPA_16352_L2,atac/CoPA_16352_L2_R1.fastq.gz,atac/CoPA_16352_L2_R2.fastq.gz,ATAC
CoPA_16346_L2,atac/CoPA_16346_L2_R1.fastq.gz,atac/CoPA_16346_L2_R2.fastq.gz,ATAC
CoPA_17948_L1,atac/CoPA_17948_L1_R1.fastq.gz,atac/CoPA_17948_L1_R2.fastq.gz,ATAC
CoPA_17949_L1,atac/CoPA_17949_L1_R1.fastq.gz,atac/CoPA_17949_L1_R2.fastq.gz,ATAC
CoPA_17950_L1,atac/CoPA_17950_L1_R1.fastq.gz,atac/CoPA_17950_L1_R2.fastq.gz,ATAC
CoPA_17951_L1,atac/CoPA_17951_L1_R1.fastq.gz,atac/CoPA_17951_L1_R2.fastq.gz,ATAC
CoPA_17952_L1,atac/CoPA_17952_L1_R1.fastq.gz,atac/CoPA_17952_L1_R2.fastq.gz,ATAC
CoPA_17953_L1,atac/CoPA_17953_L1_R1.fastq.gz,atac/CoPA_17953_L1_R2.fastq.gz,ATAC
CoPA_17954_L1,atac/CoPA_17954_L1_R1.fastq.gz,atac/CoPA_17954_L1_R2.fastq.gz,ATAC
CoPA_17955_L1,atac/CoPA_17955_L1_R1.fastq.gz,atac/CoPA_17955_L1_R2.fastq.gz,ATAC
CoPA_17956_L1,atac/CoPA_17956_L1_R1.fastq.gz,atac/CoPA_17956_L1_R2.fastq.gz,ATAC
